time_hours,t_half_1h,t_half_2h,t_half_4h,t_half_6h,t_half_8h,t_half_12h,t_half_18h,t_half_24h,t_half_36h,t_half_48h,t_half_60h,t_half_72h
28.0,0.0,0.0,0.8276321802012803,4.171004821623921,9.36358923117651,21.020547095907947,36.03947502849344,47.18953269971296,61.78924622671914,70.7044107984835,76.65962203654556,80.90588592095449
29.0,0.0,0.0,0.6959529334798726,3.7159428489419244,8.586449183896578,19.84075444234328,34.67804194156769,45.84613830588367,60.610930718171794,69.69073570560306,75.7791111780791,80.13073855888005
30.0,0.0,0.0,0.5852243269485319,3.31052872080512,7.873808618404613,18.72717846235302,33.36803857299135,44.540987742711856,59.45508558307079,68.69159347117264,74.90871384941208,79.36301776937314
31.0,0.0,0.0,0.4921130386502882,2.949345793732058,7.2203143384968165,17.67610269962087,32.107522105335576,43.27299228257581,58.321282313364456,67.70677574048744,74.04831388674701,78.6026523995371
32.0,0.0,0.0,0.4138160901006402,2.6275683869884934,6.62105744161024,16.684019286495683,30.89462311335957,42.04109419181589,57.20910057261213,66.7360771459827,73.19779646054148,77.84957197818082
33.0,0.0,0.0,0.34797646673993665,2.3408973077941284,6.071536444246969,15.747617236809223,29.727542791535402,40.84426584839648,56.1181280401522,65.77929526440764,72.35704806018286,77.1037067092872
34.0,0.0,0.0,0.29261216347426594,2.0855024108119595,5.567623467838983,14.863771395767698,28.604550286306065,39.68150888468657,55.047960258241886,64.83623057461337,71.52595647883908,76.36498746554444
35.0,0.0,0.0,0.24605651932514427,1.8579714244709644,5.105533231049561,14.029532010038055,27.52398012912095,38.551853354643605,53.99820048211218,63.90668641594615,70.7044107984835,75.63334578193938
36.0,0.0,0.0,0.20690804505032,1.6552643604025608,4.681794615588255,13.242114883220486,26.484229766440958,37.45435692470604,52.96845953288192,62.99046894723689,69.89230137509163,74.90871384941208
37.0,0.0,0.0,0.17398823336996827,1.4746728968660292,4.29322459194829,12.498892083851755,25.483757183050965,36.38810408771967,51.95835565327725,62.08738710637895,69.0895198240081,74.19102450857118
