rank,ensembl_id,tw_hours,delta_tw_hours,tw_exceeds_72h,gene_symbol,full_name,complex,atp_impact_pct
130,ENSMUSG00000020022,29.0,0.0,False,Ndufa12,NADH:ubiquinone oxidoreductase subunit A12,Complex I,85.1467
131,ENSMUSG00000059734,29.0,0.0,False,Ndufs8,NADH:ubiquinone oxidoreductase core subunit S8,Complex I,85.1467
132,ENSMUSG00000005510,29.0,0.0,False,Ndufs3,NADH:ubiquinone oxidoreductase core subunit S3,Complex I,85.1467
133,ENSMUSG00000020153,29.0,0.0,False,Ndufs7,NADH:ubiquinone oxidoreductase core subunit S7,Complex I,85.1467
134,ENSMUSG00000037916,29.0,0.0,False,Ndufv1,NADH:ubiquinone oxidoreductase core subunit V1,Complex I,85.1467
135,ENSMUSG00000025968,29.0,0.0,False,Ndufs1,NADH:ubiquinone oxidoreductase core subunit S1,Complex I,85.1467
136,ENSMUSG00000021606,29.0,0.0,False,Ndufs6,NADH:ubiquinone oxidoreductase core subunit S6,Complex I,85.1467
137,ENSMUSG00000026260,29.0,0.0,False,Ndufa10,NADH:ubiquinone oxidoreductase subunit A10,Complex I,85.1467
138,ENSMUSG00000036199,29.0,0.0,False,Ndufa13,NADH:ubiquinone oxidoreductase subunit A13,Complex I,85.1467
139,ENSMUSG00000023089,29.0,0.0,False,Ndufa5,NADH:ubiquinone oxidoreductase subunit A5,Complex I,85.1467
140,ENSMUSG00000113902,29.0,0.0,False,Ndufb1,NADH:ubiquinone oxidoreductase subunit B1,Complex I,85.1467
141,ENSMUSG00000014294,29.0,0.0,False,Ndufa2,NADH:ubiquinone oxidoreductase subunit A2,Complex I,85.1467
142,ENSMUSG00000028648,29.0,0.0,False,Ndufs5,NADH:ubiquinone oxidoreductase core subunit S5,Complex I,85.1467
143,ENSMUSG00000022354,29.0,0.0,False,Ndufb9,NADH:ubiquinone oxidoreductase subunit B9,Complex I,85.1467
144,ENSMUSG00000026895,29.0,0.0,False,Ndufa8,NADH:ubiquinone oxidoreductase subunit A8,Complex I,85.1467
145,ENSMUSG00000041426,29.0,0.0,False,Hibch,3-hydroxyisobutyryl-Coenzyme A hydrolase,Other,0.0102
