regime,scenario,t_hours,delta_psi_mV,sumATP_c_mM
in_vivo_141h,A,57.88944723618091,163.72341968364597,4.692943754556504
in_vivo_141h,A,58.25125628140704,163.71077562916392,4.692391872178073
in_vivo_141h,A,58.61306532663317,163.69812841649133,4.691838796648297
in_vivo_141h,A,58.9748743718593,163.68547320848845,4.691284325325768
in_vivo_141h,A,59.336683417085425,163.6728132597177,4.690728594553275
in_vivo_141h,A,59.698492462311556,163.66014857017925,4.690171604330823
in_vivo_141h,A,60.060301507537694,163.64747913987296,4.689613354658407
in_vivo_141h,A,60.42211055276382,163.6348055134761,4.689053811813689
in_vivo_141h,A,60.78391959798995,163.622128076502,4.68849295192856
in_vivo_141h,A,61.14572864321609,163.60944634902557,4.687930804716399
in_vivo_141h,A,61.50753768844221,163.5967603310468,4.687367370177206
in_vivo_141h,A,61.869346733668344,163.58407002256558,4.686802648310982
in_vivo_141h,A,62.23115577889448,163.57137861162053,4.686236785729589
in_vivo_141h,A,62.59296482412061,163.55868459212758,4.685669713171075
in_vivo_141h,A,62.95477386934674,163.5459876062128,4.68510141417749
in_vivo_141h,A,63.31658291457286,163.53328765387616,4.684531888748833
in_vivo_141h,A,63.678391959799,163.5205834731916,4.683961086202203
in_vivo_141h,A,64.04020100502512,163.50787193195484,4.683388880738455
in_vivo_141h,A,64.40201005025126,163.49515558820377,4.68281537509641
in_vivo_141h,A,64.76381909547739,163.48243444193832,4.682240569276065
in_vivo_141h,A,65.12562814070351,163.46970849315852,4.681664463277422
in_vivo_141h,A,65.48743718592965,163.45697865857227,4.681086993750568
in_vivo_141h,A,65.84924623115579,163.4442448718557,4.680508165278869
in_vivo_141h,A,66.21105527638191,163.43150678997938,4.6799280015676805
in_vivo_141h,A,66.57286432160804,163.41876441294335,4.679346502617003
in_vivo_141h,A,66.93467336683418,163.4060179818703,4.678763680474
in_vivo_141h,A,67.2964824120603,163.39327044267583,4.678179682324829
in_vivo_141h,A,67.65829145728644,163.38051979641963,4.677594408296861
in_vivo_141h,A,68.02010050251258,163.36776604310182,4.677007858390099
in_vivo_141h,A,68.3819095477387,163.3550091827223,4.676420032604541
in_vivo_141h,A,68.74371859296483,163.34224702374448,4.675830847137094
in_vivo_141h,A,69.10552763819095,163.32947815697597,4.6752402481010655
in_vivo_141h,A,69.46733668341709,163.3167044214468,4.6746483058198915
in_vivo_141h,A,69.82914572864323,163.30392581715685,4.674055020293572
in_vivo_141h,A,70.19095477386935,163.29114234410622,4.6734603915221085
in_vivo_141h,A,70.55276381909547,163.27835539453386,4.672864319716041
in_vivo_141h,A,70.91457286432161,163.26556428360556,4.6722668539612195
in_vivo_141h,A,71.27638190954774,163.25276887287126,4.671668004181125
in_vivo_141h,A,71.63819095477388,163.239969162331,4.671067770375755
in_vivo_141h,A,72.0,163.22716103293152,4.6704659273846385
uniform_12h,A,0.0,175.0,5.0
uniform_12h,A,0.36180904522613067,165.57257949219925,4.763253527838357
uniform_12h,A,0.7236180904522613,165.42995588317137,4.758514186001697
uniform_12h,A,1.085427135678392,165.28546870200626,4.753605211618074
uniform_12h,A,1.4472361809045227,165.14448343622308,4.748712529366153
uniform_12h,A,1.8090452261306533,165.00019040072536,4.743595391798099
uniform_12h,A,2.170854271356784,164.8554213982054,4.738342790292076
uniform_12h,A,2.532663316582915,164.71245621525387,4.733044450279161
uniform_12h,A,2.8944723618090453,164.56601598012557,4.7274961962563715
uniform_12h,A,3.256281407035176,164.42100298631502,4.72187387653181
uniform_12h,A,3.6180904522613067,164.27590531405244,4.7161269455083845
uniform_12h,A,3.9798994974874375,164.12725320554202,4.710105887465711
uniform_12h,A,4.341708542713568,163.98195227543198,4.704081884233941
uniform_12h,A,4.703517587939698,163.83463988255272,4.6978420850421045
uniform_12h,A,5.06532663316583,163.68442876464715,4.691329553222195
uniform_12h,A,5.42713567839196,163.5380816509168,4.684841849516619
uniform_12h,A,5.788944723618091,163.388452049963,4.678059241435873
uniform_12h,A,6.150753768844221,163.2375834206089,4.6710565010477
uniform_12h,A,6.512562814070352,163.08916677244508,4.664014567946397
uniform_12h,A,6.874371859296483,162.93713720405916,4.6566352775408815
uniform_12h,A,7.236180904522613,162.7857804097603,4.649110581751972
uniform_12h,A,7.597989949748744,162.63499583342693,4.641447566771996
uniform_12h,A,7.959798994974875,162.48046690771653,4.633410993839616
uniform_12h,A,8.321608040201005,162.32859638777342,4.6253196622945385
uniform_12h,A,8.683417085427136,162.1753334401507,4.616971978943931
uniform_12h,A,9.045226130653267,162.0186122327508,4.608230080258407
uniform_12h,A,9.407035175879397,161.86580492473522,4.599505192086349
uniform_12h,A,9.768844221105528,161.7099431240563,4.590401924292218
uniform_12h,A,10.13065326633166,161.55206218859954,4.580953202627962
uniform_12h,A,10.492462311557789,161.397144339563,4.571468723439585
uniform_12h,A,10.85427135678392,161.23858667462062,4.561533372429327
uniform_12h,A,11.216080402010052,161.07983328719018,4.5513371640392375
uniform_12h,A,11.577889447236181,160.92235837986325,4.540992452609997
uniform_12h,A,11.93969849246231,160.7609912622285,4.5301393483291745
uniform_12h,A,12.301507537688442,160.61182913530538,4.517101175666717
uniform_12h,A,12.663316582914575,160.45356215511094,4.502290410182438
uniform_12h,A,13.025125628140705,160.2911499449606,4.4865833008071805
uniform_12h,A,13.386934673366834,160.13199012706963,4.470684383057144
uniform_12h,A,13.748743718592966,159.97087440411826,4.454005360756441
uniform_12h,A,14.110552763819097,159.80658683133882,4.436438437113924
uniform_12h,A,14.472361809045227,159.6458539590815,4.41863540611922
uniform_12h,A,14.834170854271356,159.48204482784664,4.399841913685239
uniform_12h,A,15.195979899497488,159.31648350694442,4.380227463728166
uniform_12h,A,15.55778894472362,159.15346376374623,4.360190341218227
uniform_12h,A,15.91959798994975,158.9868802887458,4.338977984944964
uniform_12h,A,16.281407035175878,158.82022512641265,4.317065888817601
uniform_12h,A,16.64321608040201,158.65461584542746,4.294450226647094
uniform_12h,A,17.005025125628144,158.485159054938,4.270469176388253
uniform_12h,A,17.366834170854272,158.31746920443152,4.245960415182204
